cust,date
1,2006-01-01
2,2006-01-01
2,2006-12-19
3,2006-01-01
3,2006-01-10
3,2006-02-01
3,2006-02-21
3,2006-03-07
3,2006-03-20
3,2006-04-03
3,2006-04-16
3,2006-05-02
3,2006-05-30
3,2006-06-19
3,2006-07-09
3,2006-07-30
3,2006-08-21
3,2006-09-07
3,2006-09-19
3,2006-10-10
3,2006-10-23
3,2006-11-23
3,2006-12-07
3,2007-01-05
3,2007-01-16
3,2007-02-22
3,2007-04-05
3,2007-04-20
3,2007-05-09
3,2007-06-07
3,2007-06-21
3,2007-07-05
3,2007-09-13
3,2007-09-25
3,2007-10-18
3,2007-11-01
3,2007-11-27
4,2006-01-01
5,2006-01-01
5,2006-05-24
5,2006-10-11
5,2007-03-09
5,2007-06-08
5,2007-09-22
6,2006-01-02
6,2006-02-24
6,2006-04-25
6,2006-06-27
6,2006-09-26
6,2006-12-01
6,2007-01-25
6,2007-03-21
6,2007-05-22
6,2007-07-14
6,2007-09-20
6,2007-12-27
7,2006-01-02
7,2006-01-08
7,2006-01-17
7,2006-01-24
7,2006-01-31
7,2006-02-08
7,2006-02-14
7,2006-02-21
7,2006-02-28
7,2006-03-07
7,2006-03-14
7,2006-03-20
7,2006-03-27
7,2006-04-10
7,2006-04-18
7,2006-04-25
7,2006-05-15
7,2006-05-23
7,2006-05-29
7,2006-06-04
7,2006-06-20
7,2006-07-10
7,2006-09-25
7,2006-10-24
7,2006-11-07
7,2006-12-05
8,2006-01-03
9,2006-01-03
10,2006-01-03
10,2006-01-12
10,2006-04-10
11,2006-01-03
12,2006-01-03
12,2006-01-26
12,2006-02-16
12,2006-03-23
12,2006-09-14
13,2006-01-03
13,2006-03-02
14,2006-01-03
15,2006-01-03
15,2006-10-26
16,2006-01-03
16,2006-01-31
16,2006-02-28
16,2006-04-03
16,2006-05-03
16,2006-05-30
16,2006-07-01
16,2006-07-31
17,2006-01-03
17,2006-03-03
17,2006-04-05
17,2006-05-05
17,2006-06-09
17,2006-07-14
17,2006-08-22
17,2006-09-26
17,2006-11-09
17,2007-02-01
17,2007-07-26
17,2007-08-29
17,2007-10-04
17,2007-11-09
17,2007-12-14
18,2006-01-03
18,2006-03-24
19,2006-01-03
20,2006-01-03
20,2006-02-04
20,2006-03-04
20,2006-04-13
20,2006-05-03
20,2006-06-07
20,2006-07-06
20,2006-09-29
20,2006-11-09
20,2006-12-05
20,2007-03-16
20,2007-09-25
21,2006-01-03
22,2006-01-03
22,2006-01-09
22,2006-01-18
22,2006-01-31
22,2006-02-09
22,2006-02-20
22,2006-02-27
22,2006-03-20
22,2006-04-20
22,2006-05-02
22,2006-05-15
22,2006-05-30
22,2006-06-14
23,2006-01-03
24,2006-01-03
25,2006-01-03
26,2006-01-03
26,2006-04-13
26,2006-04-19
27,2006-01-03
27,2006-03-01
27,2006-05-27
27,2006-09-08
27,2006-11-07
27,2006-12-30
27,2007-03-28
27,2007-06-02
27,2007-09-28
28,2006-01-04
28,2006-04-14
29,2006-01-04
29,2006-01-11
29,2006-02-14
29,2006-02-23
29,2006-02-25
29,2006-03-08
29,2006-03-23
29,2006-03-31
29,2006-04-13
29,2006-05-03
29,2006-05-25
29,2006-06-08
29,2006-06-22
29,2006-07-07
29,2006-07-08
29,2006-07-20
29,2006-07-28
29,2006-08-17
29,2006-08-30
29,2006-09-08
29,2006-10-03
29,2006-10-18
29,2006-10-28
29,2006-11-14
29,2006-12-01
29,2006-12-02
29,2006-12-22
29,2007-01-03
29,2007-02-02
29,2007-03-07
29,2007-03-29
29,2007-04-11
29,2007-04-21
29,2007-05-04
29,2007-05-15
29,2007-05-23
29,2007-06-05
29,2007-07-10
29,2007-07-25
29,2007-09-01
29,2007-10-03
29,2007-11-10
29,2007-12-06
29,2007-12-19
30,2006-01-04
30,2006-02-07
30,2006-04-04
30,2006-05-03
31,2006-01-04
31,2006-01-12
31,2006-01-19
31,2006-01-26
31,2006-02-09
31,2006-02-22
31,2006-03-02
31,2006-03-09
31,2006-05-11
31,2006-09-21
31,2006-11-16
31,2007-02-01
32,2006-01-04
32,2006-01-21
33,2006-01-04
34,2006-01-04
34,2006-01-10
34,2006-01-17
34,2006-01-24
34,2006-01-31
34,2006-02-07
34,2006-02-14
34,2006-02-21
34,2006-03-07
34,2006-03-14
34,2006-03-21
34,2006-03-28
34,2006-04-19
34,2006-04-29
34,2006-05-09
34,2006-06-07
34,2006-06-20
34,2006-06-27
34,2006-07-06
34,2006-09-02
34,2006-09-09
34,2006-09-23
34,2006-09-30
34,2006-10-05
34,2006-10-17
34,2006-11-14
34,2006-12-16
34,2007-02-10
34,2007-04-11
35,2006-01-04
35,2006-02-01
35,2006-02-07
35,2006-03-07
36,2006-01-04
36,2006-02-28
36,2006-05-12
36,2006-05-19
36,2007-02-08
36,2007-07-25
37,2006-01-04
38,2006-01-04
38,2006-01-27
38,2006-04-12
38,2006-05-13
38,2006-07-01
38,2006-07-26
38,2006-10-19
38,2006-12-28
39,2006-01-04
39,2006-01-12
39,2006-01-27
39,2006-04-14
39,2007-10-19
39,2007-10-25
39,2007-11-01
39,2007-11-10
39,2007-11-20
39,2007-11-30
39,2007-12-08
39,2007-12-11
40,2006-01-04
40,2006-01-12
40,2006-01-17
40,2006-01-19
40,2006-01-27
40,2006-01-31
40,2006-02-02
40,2006-02-21
40,2006-03-09
40,2006-03-28
40,2006-04-11
40,2006-04-26
40,2006-05-12
40,2006-06-02
40,2006-06-14
40,2006-07-06
40,2006-07-26
40,2006-08-24
40,2006-09-07
40,2006-10-06
40,2006-10-26
40,2006-11-09
40,2006-11-24
40,2006-12-06
40,2006-12-14
40,2007-01-09
40,2007-01-23
40,2007-02-01
40,2007-02-15
40,2007-02-27
40,2007-03-13
40,2007-03-23
40,2007-04-04
40,2007-04-17
40,2007-04-25
40,2007-05-10
40,2007-05-25
40,2007-06-12
40,2007-06-19
40,2007-06-22
40,2007-07-05
40,2007-07-17
40,2007-08-01
40,2007-08-09
40,2007-08-29
40,2007-09-18
40,2007-10-02
40,2007-10-12
40,2007-10-19
40,2007-10-31
40,2007-11-14
40,2007-11-28
40,2007-12-18
41,2006-01-04
41,2007-04-17
41,2007-05-12
41,2007-05-25
41,2007-06-12
41,2007-07-10
41,2007-08-09
41,2007-08-30
41,2007-09-05
41,2007-09-21
41,2007-10-16
41,2007-11-07
41,2007-11-28
41,2007-12-11
42,2006-01-04
