dataset,metric,MCMC,Amortized,wilcoxon_p
HeldoutSim,CRPS,0.5599512636517796,0.5552187542205816,0.507703959941864
HeldoutSim,pit_ks,0.03698804397942464,0.0322667712060347,0.04512268304824829
CDNow,CRPS,0.3845136932541366,0.3834740135765804,
CDNow,pit_ks,0.04166261632862445,0.04019123598040841,
Grocery,CRPS,0.5200855737704917,0.5239658975409837,
Grocery,pit_ks,0.038790499797261124,0.03668364341024177,
OnlineRetailII,CRPS,0.7852050784910964,0.7386434732310215,
OnlineRetailII,pit_ks,0.20677008137399105,0.12087649107260878,
Dunnhumby,CRPS,6.9912436223468175,6.973224587004406,
Dunnhumby,pit_ks,0.16786698579843784,0.16117003949967434,
