dataset,seed,model,metric,value
Simulated,0,ParetoNBD,CRPS,0.35796725
Simulated,0,ParetoNBD,pit_ks,0.015969024541372945
Simulated,0,ParetoNBD,cov95,0.9866666666666667
Simulated,0,BGNBD,CRPS,0.3542508645833333
Simulated,0,BGNBD,pit_ks,0.049722601795401555
Simulated,0,BGNBD,cov95,0.9908333333333333
Simulated,1,ParetoNBD,CRPS,0.43831010416666666
Simulated,1,ParetoNBD,pit_ks,0.02580732643941941
Simulated,1,ParetoNBD,cov95,0.9833333333333333
Simulated,1,BGNBD,CRPS,0.44100957291666665
Simulated,1,BGNBD,pit_ks,0.05387995175015392
Simulated,1,BGNBD,cov95,0.9891666666666666
Simulated,2,ParetoNBD,CRPS,0.4329822916666667
Simulated,2,ParetoNBD,pit_ks,0.02997340016315425
Simulated,2,ParetoNBD,cov95,0.9916666666666667
Simulated,2,BGNBD,CRPS,0.4381791302083334
Simulated,2,BGNBD,pit_ks,0.04934316159193641
Simulated,2,BGNBD,cov95,0.9916666666666667
Simulated,3,ParetoNBD,CRPS,0.42517806249999995
Simulated,3,ParetoNBD,pit_ks,0.04721242321592878
Simulated,3,ParetoNBD,cov95,0.9875
Simulated,3,BGNBD,CRPS,0.4278201041666666
Simulated,3,BGNBD,pit_ks,0.08380017920294158
Simulated,3,BGNBD,cov95,0.9933333333333333
Simulated,4,ParetoNBD,CRPS,0.4710645625
Simulated,4,ParetoNBD,pit_ks,0.02098110110481355
Simulated,4,ParetoNBD,cov95,0.9825
Simulated,4,BGNBD,CRPS,0.4766292499999999
Simulated,4,BGNBD,pit_ks,0.06400245015198847
Simulated,4,BGNBD,cov95,0.9891666666666666
Simulated,5,ParetoNBD,CRPS,0.4223375625
Simulated,5,ParetoNBD,pit_ks,0.020724308252770163
Simulated,5,ParetoNBD,cov95,0.9858333333333333
Simulated,5,BGNBD,CRPS,0.42785071875
Simulated,5,BGNBD,pit_ks,0.03811965053989663
Simulated,5,BGNBD,cov95,0.9891666666666666
Simulated,6,ParetoNBD,CRPS,0.45671477083333334
Simulated,6,ParetoNBD,pit_ks,0.022234174485453645
Simulated,6,ParetoNBD,cov95,0.98
Simulated,6,BGNBD,CRPS,0.4585978125
Simulated,6,BGNBD,pit_ks,0.05150259415316816
Simulated,6,BGNBD,cov95,0.9858333333333333
Simulated,7,ParetoNBD,CRPS,0.43393316666666665
Simulated,7,ParetoNBD,pit_ks,0.028986310079606697
Simulated,7,ParetoNBD,cov95,0.9825
Simulated,7,BGNBD,CRPS,0.4358033385416667
Simulated,7,BGNBD,pit_ks,0.03639848122543621
Simulated,7,BGNBD,cov95,0.9841666666666666
Simulated,8,ParetoNBD,CRPS,0.38027725
Simulated,8,ParetoNBD,pit_ks,0.01540300190692856
Simulated,8,ParetoNBD,cov95,0.9741666666666666
Simulated,8,BGNBD,CRPS,0.37898440624999996
Simulated,8,BGNBD,pit_ks,0.05528525013313068
Simulated,8,BGNBD,cov95,0.9866666666666667
Simulated,9,ParetoNBD,CRPS,0.4126806666666667
Simulated,9,ParetoNBD,pit_ks,0.02130044908061446
Simulated,9,ParetoNBD,cov95,0.9766666666666667
Simulated,9,BGNBD,CRPS,0.41454308854166666
Simulated,9,BGNBD,pit_ks,0.049362884356613845
Simulated,9,BGNBD,cov95,0.9866666666666667
CDNow,0,ParetoNBD,CRPS,0.3917574671192193
CDNow,0,ParetoNBD,pit_ks,0.06837139532140368
CDNow,0,ParetoNBD,cov95,0.9677556215528214
CDNow,0,BGNBD,CRPS,0.38554741196436143
CDNow,0,BGNBD,pit_ks,0.029467462917701193
CDNow,0,BGNBD,cov95,0.9741196436147646
CDNow,1,ParetoNBD,CRPS,0.3845136932541366
CDNow,1,ParetoNBD,pit_ks,0.04166261632862445
CDNow,1,ParetoNBD,cov95,0.9736953754773017
CDNow,1,BGNBD,CRPS,0.38517610574883326
CDNow,1,BGNBD,pit_ks,0.03659056858783383
CDNow,1,BGNBD,cov95,0.9732711073398388
CDNow,2,ParetoNBD,CRPS,0.38501740560033937
CDNow,2,ParetoNBD,pit_ks,0.0511496561307625
CDNow,2,ParetoNBD,cov95,0.9707254985150615
CDNow,2,BGNBD,CRPS,0.38479162865931266
CDNow,2,BGNBD,pit_ks,0.034007094571306906
CDNow,2,BGNBD,cov95,0.9715740347899873
CDNow,3,ParetoNBD,CRPS,0.3878016334323292
CDNow,3,ParetoNBD,pit_ks,0.051250716382081896
CDNow,3,ParetoNBD,cov95,0.9703012303775986
CDNow,3,BGNBD,CRPS,0.3847047942299533
CDNow,3,BGNBD,pit_ks,0.025982068537013236
CDNow,3,BGNBD,cov95,0.9707254985150615
CDNow,4,ParetoNBD,CRPS,0.38845862324989394
CDNow,4,ParetoNBD,pit_ks,0.05094533796652967
CDNow,4,ParetoNBD,cov95,0.9719983029274502
CDNow,4,BGNBD,CRPS,0.3860467755621552
CDNow,4,BGNBD,pit_ks,0.024684152220082356
CDNow,4,BGNBD,cov95,0.9732711073398388
CDNow,5,ParetoNBD,CRPS,0.38625056215528214
CDNow,5,ParetoNBD,pit_ks,0.061516081163727754
CDNow,5,ParetoNBD,cov95,0.9711497666525244
CDNow,5,BGNBD,CRPS,0.3851000132583793
CDNow,5,BGNBD,pit_ks,0.03361782398173063
CDNow,5,BGNBD,cov95,0.9741196436147646
CDNow,6,ParetoNBD,CRPS,0.3865084111158252
CDNow,6,ParetoNBD,pit_ks,0.04026521096605229
CDNow,6,ParetoNBD,cov95,0.9703012303775986
