dataset,seed,method,metric,value
Simulated,0,BTYD,brier,0.058846499999999996
Simulated,0,BTYD,ece,0.023588888888888895
Simulated,0,ML,brier,0.08319736030359154
Simulated,0,ML,ece,0.05608715142916764
Simulated,1,BTYD,brier,0.06888966666666668
Simulated,1,BTYD,ece,0.023177777777777787
Simulated,1,ML,brier,0.08113536618050841
Simulated,1,ML,ece,0.04509105833795228
Simulated,2,BTYD,brier,0.07325961111111111
Simulated,2,BTYD,ece,0.034011111111111124
Simulated,2,ML,brier,0.0783589180000044
Simulated,2,ML,ece,0.0583654319679874
Simulated,3,BTYD,brier,0.0831035
Simulated,3,BTYD,ece,0.027744444444444454
Simulated,3,ML,brier,0.09869128097426419
Simulated,3,ML,ece,0.06139171805623547
Simulated,4,BTYD,brier,0.049575888888888885
Simulated,4,BTYD,ece,0.03988888888888889
Simulated,4,ML,brier,0.06106370971182211
Simulated,4,ML,ece,0.03735737191056171
Simulated,5,BTYD,brier,0.06204261111111112
Simulated,5,BTYD,ece,0.024988888888888876
Simulated,5,ML,brier,0.07765835675500672
Simulated,5,ML,ece,0.037294352316719064
Simulated,6,BTYD,brier,0.0698655
Simulated,6,BTYD,ece,0.029833333333333333
Simulated,6,ML,brier,0.0791998079177342
Simulated,6,ML,ece,0.04608672243398545
Simulated,7,BTYD,brier,0.051094888888888884
Simulated,7,BTYD,ece,0.032044444444444445
Simulated,7,ML,brier,0.0586081999553936
Simulated,7,ML,ece,0.021023343398277695
Simulated,8,BTYD,brier,0.06455972222222223
Simulated,8,BTYD,ece,0.02447777777777779
Simulated,8,ML,brier,0.08415340555416297
Simulated,8,ML,ece,0.0561362706087332
Simulated,9,BTYD,brier,0.06485127777777779
Simulated,9,BTYD,ece,0.02843333333333332
Simulated,9,ML,brier,0.07641329259737947
Simulated,9,ML,ece,0.03562357947221835
Simulated,10,BTYD,brier,0.05291283333333333
Simulated,10,BTYD,ece,0.01952222222222222
Simulated,10,ML,brier,0.06058130346070497
Simulated,10,ML,ece,0.036155436270776345
Simulated,11,BTYD,brier,0.07077944444444445
Simulated,11,BTYD,ece,0.025888888888888892
Simulated,11,ML,brier,0.08243189270889445
Simulated,11,ML,ece,0.06236245753746937
Simulated,12,BTYD,brier,0.071127
Simulated,12,BTYD,ece,0.021822222222222215
Simulated,12,ML,brier,0.09355348210708327
Simulated,12,ML,ece,0.05389882726370635
Simulated,13,BTYD,brier,0.06722211111111111
Simulated,13,BTYD,ece,0.031911111111111105
Simulated,13,ML,brier,0.07993187067363017
Simulated,13,ML,ece,0.05544165025968752
Simulated,14,BTYD,brier,0.05672744444444444
Simulated,14,BTYD,ece,0.01491111111111112
Simulated,14,ML,brier,0.07066229837561155
Simulated,14,ML,ece,0.043431363793034854
CDNow,0,BTYD,brier,0.13855074257425742
CDNow,0,BTYD,ece,0.061181046676096175
CDNow,0,ML,brier,0.14017700213769874
CDNow,0,ML,ece,0.033593786846503326
CDNow,1,BTYD,brier,0.1362817538896747
CDNow,1,BTYD,ece,0.056562942008486584
CDNow,1,ML,brier,0.15043052790439934
CDNow,1,ML,ece,0.06430220667801465
CDNow,2,BTYD,brier,0.1414099717114569
CDNow,2,BTYD,ece,0.05681753889674682
CDNow,2,ML,brier,0.1475945135993653
CDNow,2,ML,ece,0.04638396636565341
CDNow,3,BTYD,brier,0.15504756011315418
CDNow,3,BTYD,ece,0.08801272984441302
CDNow,3,ML,brier,0.15537988911046285
CDNow,3,ML,ece,0.051594530221073645
CDNow,4,BTYD,brier,0.13515583451202265
CDNow,4,BTYD,ece,0.05156294200848656
CDNow,4,ML,brier,0.14804553531709044
CDNow,4,ML,ece,0.050709310488071244
CDNow,5,BTYD,brier,0.14514908062234796
CDNow,5,BTYD,ece,0.06014144271570012
CDNow,5,ML,brier,0.15347644499510954
CDNow,5,ML,ece,0.055813090056386704
CDNow,6,BTYD,brier,0.14451937765205092
CDNow,6,BTYD,ece,0.07479490806223481
CDNow,6,ML,brier,0.14572431423964166
CDNow,6,ML,ece,0.048871868333583944
CDNow,7,BTYD,brier,0.1558234441301273
CDNow,7,BTYD,ece,0.08260961810466758
CDNow,7,ML,brier,0.16150684841533225
CDNow,7,ML,ece,0.06190437024387996
CDNow,8,BTYD,brier,0.15245314710042435
CDNow,8,BTYD,ece,0.08574964639321075
CDNow,8,ML,brier,0.1528275530975474
CDNow,8,ML,ece,0.049181295465560604
CDNow,9,BTYD,brier,0.14559579207920792
CDNow,9,BTYD,ece,0.06954031117397452
CDNow,9,ML,brier,0.14892879316266192
CDNow,9,ML,ece,0.04266278109759094
CDNow,10,BTYD,brier,0.15544964639321077
CDNow,10,BTYD,ece,0.07974540311173975
