dataset,metric,BTYD,ML,wilcoxon_p
CDNow,brier,0.14864904054691183,0.15380935273313476,0.00115966796875
CDNow,ece,0.07288684582743987,0.054472078031287174,0.0006103515625
Dunnhumby,brier,0.05606432576769026,0.0336224385614933,6.103515625e-05
Dunnhumby,ece,0.05182109479305739,0.02650118046073808,6.103515625e-05
Grocery,brier,0.10042592066957787,0.1161465301524735,6.103515625e-05
Grocery,ece,0.043010917030567676,0.06346170957376171,0.0001220703125
Olist,brier,0.015384214485912375,0.015346340761408962,0.00262451171875
Olist,ece,0.005724148104440182,0.001400134457150867,0.00030517578125
OnlineRetailII,brier,0.23029562760416664,0.19802908749290746,6.103515625e-05
OnlineRetailII,ece,0.18520520833333334,0.05146983832119832,6.103515625e-05
Simulated,brier,0.06432386666666666,0.0777093696850528,6.103515625e-05
Simulated,ece,0.026816296296296293,0.047049782337100846,0.00042724609375
Ta-Feng,brier,0.21214320076313478,0.19870429271891923,6.103515625e-05
Ta-Feng,ece,0.0853032971333529,0.012698086071417458,6.103515625e-05
