dataset,seed,method,cond,metric,value
OnlineRetailII,0,BTYD+GG,all,CRPS,365.3181567131651
OnlineRetailII,0,BTYD+GG,all,pit_ks,0.23093750000000002
OnlineRetailII,0,BTYD+GG,all,cov95,0.98125
OnlineRetailII,0,BTYD+GG,all,nMAE,0.8573022722047889
OnlineRetailII,0,BTYD+GG,x>0,CRPS,489.2180710394865
OnlineRetailII,0,BTYD+GG,x>0,pit_ks,0.24451338199513378
OnlineRetailII,0,BTYD+GG,x>0,cov95,0.9720194647201946
OnlineRetailII,0,BTYD+GG,x>0,nMAE,0.8081846205026574
OnlineRetailII,0,ZILN,all,CRPS,423.8284994313817
OnlineRetailII,0,ZILN,all,pit_ks,0.028281250000000036
OnlineRetailII,0,ZILN,all,cov95,0.9765625
OnlineRetailII,0,ZILN,all,nMAE,0.9824564212934406
OnlineRetailII,0,ZILN,x>0,CRPS,609.0176371293229
OnlineRetailII,0,ZILN,x>0,pit_ks,0.03360705596107061
OnlineRetailII,0,ZILN,x>0,cov95,0.9720194647201946
OnlineRetailII,0,ZILN,x>0,nMAE,0.9812340105147841
OnlineRetailII,1,BTYD+GG,all,CRPS,409.01633607756634
OnlineRetailII,1,BTYD+GG,all,pit_ks,0.21312499999999995
OnlineRetailII,1,BTYD+GG,all,cov95,0.98203125
OnlineRetailII,1,BTYD+GG,all,nMAE,0.6773910948200703
OnlineRetailII,1,BTYD+GG,x>0,CRPS,559.9338256694821
OnlineRetailII,1,BTYD+GG,x>0,pit_ks,0.2195588235294118
OnlineRetailII,1,BTYD+GG,x>0,cov95,0.9742647058823529
OnlineRetailII,1,BTYD+GG,x>0,nMAE,0.6328906403673608
OnlineRetailII,1,ZILN,all,CRPS,844.4840737821875
OnlineRetailII,1,ZILN,all,pit_ks,0.021338582670958367
OnlineRetailII,1,ZILN,all,cov95,0.97421875
OnlineRetailII,1,ZILN,all,nMAE,1.6551064684387293
OnlineRetailII,1,ZILN,x>0,CRPS,1272.5263669737408
OnlineRetailII,1,ZILN,x>0,pit_ks,0.029705882352941138
OnlineRetailII,1,ZILN,x>0,cov95,0.9681372549019608
OnlineRetailII,1,ZILN,x>0,nMAE,1.6875868375306946
OnlineRetailII,2,BTYD+GG,all,CRPS,379.4500616157603
OnlineRetailII,2,BTYD+GG,all,pit_ks,0.2143364742092161
OnlineRetailII,2,BTYD+GG,all,cov95,0.98125
OnlineRetailII,2,BTYD+GG,all,nMAE,0.8316540983344118
OnlineRetailII,2,BTYD+GG,x>0,CRPS,497.76940312881146
OnlineRetailII,2,BTYD+GG,x>0,pit_ks,0.22798442388669043
OnlineRetailII,2,BTYD+GG,x>0,cov95,0.9731051344743277
OnlineRetailII,2,BTYD+GG,x>0,nMAE,0.777411751578934
OnlineRetailII,2,ZILN,all,CRPS,364.3895384781922
OnlineRetailII,2,ZILN,all,pit_ks,0.03109374999999992
OnlineRetailII,2,ZILN,all,cov95,0.9640625
OnlineRetailII,2,ZILN,all,nMAE,0.7998911496609515
OnlineRetailII,2,ZILN,x>0,CRPS,503.1601493122713
OnlineRetailII,2,ZILN,x>0,pit_ks,0.04174205378973106
OnlineRetailII,2,ZILN,x>0,cov95,0.960880195599022
OnlineRetailII,2,ZILN,x>0,nMAE,0.7827802876039528
OnlineRetailII,3,BTYD+GG,all,CRPS,359.6195812034408
OnlineRetailII,3,BTYD+GG,all,pit_ks,0.22468750000000004
OnlineRetailII,3,BTYD+GG,all,cov95,0.97890625
OnlineRetailII,3,BTYD+GG,all,nMAE,0.8386007406253775
OnlineRetailII,3,BTYD+GG,x>0,CRPS,470.1648977886349
OnlineRetailII,3,BTYD+GG,x>0,pit_ks,0.23423444976076557
OnlineRetailII,3,BTYD+GG,x>0,cov95,0.9736842105263158
OnlineRetailII,3,BTYD+GG,x>0,nMAE,0.7895670865502259
OnlineRetailII,3,ZILN,all,CRPS,300.56375635769365
OnlineRetailII,3,ZILN,all,pit_ks,0.02609374999999997
OnlineRetailII,3,ZILN,all,cov95,0.97578125
OnlineRetailII,3,ZILN,all,nMAE,0.6867149261229573
OnlineRetailII,3,ZILN,x>0,CRPS,404.03313033525654
OnlineRetailII,3,ZILN,x>0,pit_ks,0.042562027125373436
OnlineRetailII,3,ZILN,x>0,cov95,0.9808612440191388
OnlineRetailII,3,ZILN,x>0,nMAE,0.6621848388484187
OnlineRetailII,4,BTYD+GG,all,CRPS,406.0559868727576
OnlineRetailII,4,BTYD+GG,all,pit_ks,0.20455430221118326
OnlineRetailII,4,BTYD+GG,all,cov95,0.978125
