dataset,seed,method,cond,metric,value
Simulated,0,BTYD_raw,all,CRPS,0.34648958333333335
Simulated,0,BTYD_raw,all,pit_ks,0.04382302282923517
Simulated,0,BTYD_raw,all,cov95,0.9773333333333334
Simulated,0,BTYD_raw,all,cov50,0.896
Simulated,0,BTYD_raw,all,nMAE,0.5991596638655462
Simulated,0,BTYD_raw,x>0,CRPS,0.6072036366498741
Simulated,0,BTYD_raw,x>0,pit_ks,0.08169370784103541
Simulated,0,BTYD_raw,x>0,cov95,0.9874055415617129
Simulated,0,BTYD_raw,x>0,cov50,0.8337531486146096
Simulated,0,BTYD_raw,x>0,nMAE,0.5859375
Simulated,0,BTYD_recal,all,CRPS,0.349862448
Simulated,0,BTYD_recal,all,pit_ks,0.05324377877425113
Simulated,0,BTYD_recal,all,cov95,0.9733333333333334
Simulated,0,BTYD_recal,all,cov50,0.8866666666666667
Simulated,0,BTYD_recal,all,nMAE,0.6100840336134453
Simulated,0,BTYD_recal,x>0,CRPS,0.6136506095717885
Simulated,0,BTYD_recal,x>0,pit_ks,0.09066575473683852
Simulated,0,BTYD_recal,x>0,cov95,0.9798488664987406
Simulated,0,BTYD_recal,x>0,cov50,0.8161209068010076
Simulated,0,BTYD_recal,x>0,nMAE,0.5972222222222223
Simulated,1,BTYD_raw,all,CRPS,0.4221247395833333
Simulated,1,BTYD_raw,all,pit_ks,0.029859613427566767
Simulated,1,BTYD_raw,all,cov95,0.98
Simulated,1,BTYD_raw,all,cov50,0.8973333333333333
Simulated,1,BTYD_raw,all,nMAE,0.6414814814814815
Simulated,1,BTYD_raw,x>0,CRPS,0.7476088722153463
Simulated,1,BTYD_raw,x>0,pit_ks,0.05833816566109867
Simulated,1,BTYD_raw,x>0,cov95,0.9777227722772277
Simulated,1,BTYD_raw,x>0,cov50,0.8415841584158416
Simulated,1,BTYD_raw,x>0,nMAE,0.6333333333333334
Simulated,1,BTYD_recal,all,CRPS,0.41940350400000004
Simulated,1,BTYD_recal,all,pit_ks,0.024488204442506045
Simulated,1,BTYD_recal,all,cov95,0.9813333333333333
Simulated,1,BTYD_recal,all,cov50,0.8973333333333333
Simulated,1,BTYD_recal,all,nMAE,0.6444444444444444
Simulated,1,BTYD_recal,x>0,CRPS,0.74259001980198
Simulated,1,BTYD_recal,x>0,pit_ks,0.05407841613032616
Simulated,1,BTYD_recal,x>0,cov95,0.9801980198019802
Simulated,1,BTYD_recal,x>0,cov50,0.8415841584158416
Simulated,1,BTYD_recal,x>0,nMAE,0.6363636363636365
Simulated,2,BTYD_raw,all,CRPS,0.4757647395833333
Simulated,2,BTYD_raw,all,pit_ks,0.022763098964795503
Simulated,2,BTYD_raw,all,cov95,0.9666666666666667
Simulated,2,BTYD_raw,all,cov50,0.8986666666666666
Simulated,2,BTYD_raw,all,nMAE,0.6387434554973822
Simulated,2,BTYD_raw,x>0,CRPS,0.8427873394423558
Simulated,2,BTYD_raw,x>0,pit_ks,0.03159417350408639
Simulated,2,BTYD_raw,x>0,cov95,0.9624060150375939
Simulated,2,BTYD_raw,x>0,cov50,0.8395989974937343
Simulated,2,BTYD_raw,x>0,nMAE,0.6285329744279946
Simulated,2,BTYD_recal,all,CRPS,0.47491015999999997
Simulated,2,BTYD_recal,all,pit_ks,0.022882282966422363
Simulated,2,BTYD_recal,all,cov95,0.9666666666666667
Simulated,2,BTYD_recal,all,cov50,0.9013333333333333
Simulated,2,BTYD_recal,all,nMAE,0.6426701570680629
Simulated,2,BTYD_recal,x>0,CRPS,0.8409935739348371
Simulated,2,BTYD_recal,x>0,pit_ks,0.02364713156162057
Simulated,2,BTYD_recal,x>0,cov95,0.9624060150375939
Simulated,2,BTYD_recal,x>0,cov50,0.8446115288220551
Simulated,2,BTYD_recal,x>0,nMAE,0.63257065948856
Simulated,3,BTYD_raw,all,CRPS,0.4681436458333333
Simulated,3,BTYD_raw,all,pit_ks,0.02815231506842858
Simulated,3,BTYD_raw,all,cov95,0.9786666666666667
Simulated,3,BTYD_raw,all,cov50,0.884
Simulated,3,BTYD_raw,all,nMAE,0.6863013698630137
Simulated,3,BTYD_raw,x>0,CRPS,0.7890827717713269
Simulated,3,BTYD_raw,x>0,pit_ks,0.04386662760111787
Simulated,3,BTYD_raw,x>0,cov95,0.9786729857819905
Simulated,3,BTYD_raw,x>0,cov50,0.8317535545023697
Simulated,3,BTYD_raw,x>0,nMAE,0.6779184247538678
Simulated,3,BTYD_recal,all,CRPS,0.468023184
Simulated,3,BTYD_recal,all,pit_ks,0.031068375674943305
Simulated,3,BTYD_recal,all,cov95,0.9786666666666667
Simulated,3,BTYD_recal,all,cov50,0.884
Simulated,3,BTYD_recal,all,nMAE,0.6808219178082191
Simulated,3,BTYD_recal,x>0,CRPS,0.788824104265403
Simulated,3,BTYD_recal,x>0,pit_ks,0.04669999721397522
Simulated,3,BTYD_recal,x>0,cov95,0.9786729857819905
Simulated,3,BTYD_recal,x>0,cov50,0.8317535545023697
Simulated,3,BTYD_recal,x>0,nMAE,0.6722925457102672
Simulated,4,BTYD_raw,all,CRPS,0.4714875520833334
Simulated,4,BTYD_raw,all,pit_ks,0.030490264247094112
Simulated,4,BTYD_raw,all,cov95,0.9826666666666667
Simulated,4,BTYD_raw,all,cov50,0.9026666666666666
