dataset,cond,metric,raw_mean,recal_mean,recal_minus_raw,wilcoxon_p,n_seeds
CDNow,all,CRPS,0.38268156055626235,0.382410090132881,-0.0002714704233813629,0.638671875,15
CDNow,all,cov50,0.8359061351427765,0.8465366129488265,0.010630477806050325,6.103515625e-05,15
CDNow,all,cov95,0.9699180096126662,0.977834322872491,0.007916313259824715,0.0014639297960568453,15
CDNow,all,nMAE,0.8327394392622958,0.8383672769324527,0.005627837670157199,0.072998046875,15
CDNow,all,pit_ks,0.055914443046341904,0.03395250507390535,-0.021961937972436552,0.0001220703125,15
CDNow,x>0,CRPS,0.7234933865356289,0.7243803388687707,0.0008869523331417698,0.803955078125,15
CDNow,x>0,cov50,0.7556751134250421,0.7820021577228294,0.026327044297787074,6.103515625e-05,15
CDNow,x>0,cov95,0.9691789846139436,0.978103006339292,0.008924021725348674,0.0014737808438751421,15
CDNow,x>0,nMAE,0.7996295373051605,0.806517432775625,0.0068878954704645855,0.072998046875,15
CDNow,x>0,pit_ks,0.07899746965668829,0.05352055319080525,-0.02547691646588303,0.00030517578125,15
Dunnhumby,all,CRPS,6.924468589454896,6.713166834907925,-0.21130175454697095,6.103515625e-05,15
Dunnhumby,all,cov50,0.37325860688550844,0.5491860154790499,0.17592740859354147,0.0006516660806139112,15
Dunnhumby,all,cov95,0.7958366693354685,0.8785161462503335,0.08267947691486524,6.103515625e-05,15
Dunnhumby,all,nMAE,0.34839392444134637,0.3510977448501754,0.00270382040882919,0.00836181640625,15
Dunnhumby,all,pit_ks,0.1639253584559968,0.09719815726275745,-0.06672720119323935,6.103515625e-05,15
Dunnhumby,x>0,CRPS,6.980121524330706,6.7711696568084045,-0.20895186752230194,6.103515625e-05,15
Dunnhumby,x>0,cov50,0.37185519249504145,0.5480992743870048,0.17624408189196325,6.103515625e-05,15
Dunnhumby,x>0,cov95,0.7970695083398248,0.8797755771784271,0.08270606883860214,6.103515625e-05,15
Dunnhumby,x>0,nMAE,0.3469528709373066,0.34968762313265095,0.002734752195344355,0.00836181640625,15
Dunnhumby,x>0,pit_ks,0.1607652485722829,0.0955576032525832,-0.06520764531969966,6.103515625e-05,15
Grocery,all,CRPS,0.5153474873034075,0.5129773245958933,-0.00237016270751416,0.063720703125,15
Grocery,all,cov50,0.8683267802533858,0.8545216251638268,-0.013805155089558766,0.0014665230830596743,15
Grocery,all,cov95,0.9713411970292704,0.9746614242027084,0.0033202271734381616,0.03569190011680441,15
Grocery,all,nMAE,0.545935526383023,0.5458310493176367,-0.000104477065386314,0.875329249147922,15
Grocery,all,pit_ks,0.0362543258903295,0.03572304329622656,-0.0005312825941029442,0.97796630859375,15
Grocery,x>0,CRPS,0.7760230385552636,0.7720776327826244,-0.003945405772638984,0.05535888671875,15
Grocery,x>0,cov50,0.8183237701779436,0.7961159431070465,-0.022207827070897006,0.00042724609375,15
Grocery,x>0,cov95,0.9680721286291626,0.9711295270568626,0.0030573984276998905,0.06861194191702381,15
Grocery,x>0,nMAE,0.5339764986090241,0.5338660187271904,-0.00011047988183363981,0.875329249147922,15
Grocery,x>0,pit_ks,0.04891716848280707,0.04698512527609706,-0.001932043206710023,0.67877197265625,15
Olist,all,CRPS,0.01704399195540903,0.017064374971236394,2.038301582736104e-05,0.03533935546875,15
Olist,all,cov50,0.9840870873528631,0.9840870873528631,0.0,1.0,15
Olist,all,cov95,0.9852022302858662,0.9863350739003454,0.0011328436144791545,0.011616044899262472,15
Olist,all,nMAE,1.0,1.0,0.0,1.0,15
Olist,all,pit_ks,0.010313506836060563,0.009262436892867269,-0.0010510699431932947,0.01806640625,15
Olist,x>0,CRPS,0.08606732341701805,0.08588078831100537,-0.0001865351060126604,0.207763671875,15
Olist,x>0,cov50,0.939092935059475,0.939092935059475,0.0,1.0,15
Olist,x>0,cov95,0.9787093906095866,0.9808919535919782,0.0021825629823915226,0.06788915486182899,15
Olist,x>0,nMAE,1.0,1.0,0.0,1.0,15
Olist,x>0,pit_ks,0.072751167412781,0.07060557397409241,-0.002145593438688586,0.10699462890625,15
OnlineRetailII,all,CRPS,0.7801885738831614,0.6489337164636051,-0.13125485741955636,6.103515625e-05,15
OnlineRetailII,all,cov50,0.7983755076538581,0.7778194314276787,-0.020556076226179307,0.0017815591405881395,15
OnlineRetailII,all,cov95,0.9900031240237426,0.979256482349266,-0.010746641674476734,0.0006451158437926242,15
OnlineRetailII,all,nMAE,0.829785108766451,0.6704458941810103,-0.1593392145854406,6.103515625e-05,15
OnlineRetailII,all,pit_ks,0.2120111895433886,0.043526122800014555,-0.16848506674337402,6.103515625e-05,15
OnlineRetailII,x>0,CRPS,0.9839018452411732,0.8386373012398629,-0.1452645440013102,6.103515625e-05,15
OnlineRetailII,x>0,cov50,0.7110932753853821,0.7339984767619311,0.022905201376548813,0.0023294396798343325,15
OnlineRetailII,x>0,cov95,0.9864124336357922,0.9748110374700788,-0.011601396165713429,6.103515625e-05,15
OnlineRetailII,x>0,nMAE,0.758349411797058,0.6330969151406223,-0.12525249665643565,6.103515625e-05,15
OnlineRetailII,x>0,pit_ks,0.222347606311269,0.0523158664737596,-0.17003173983750947,6.103515625e-05,15
Simulated,all,CRPS,0.41253251388888884,0.4137171434666667,0.0011846295777777924,0.1688232421875,15
Simulated,all,cov50,0.8981333333333335,0.8950222222222222,-0.0031111111111111014,0.04107690290648808,15
Simulated,all,cov95,0.9805333333333335,0.9812444444444443,0.0007111111111111142,0.44220605952618686,15
Simulated,all,nMAE,0.6089746193261867,0.6096363191967522,0.0006616998705654427,0.6377666989276032,15
Simulated,all,pit_ks,0.03096662585085514,0.03377003393839617,0.0028034080875410225,0.01806640625,15
Simulated,x>0,CRPS,0.7217920368438977,0.7238214543152411,0.0020294174713433905,0.1876220703125,15
