k,rep,model,cond,n,pit_ks,CRPS,cov50,cov95,mean_true,mean_pred,k_hat,E_lambda_true,E_lambda_pnbd,E_lambda_ggg
1.0,0,PNBD,all,800,0.0244029803004434,0.2566349482248521,0.94,0.9825,0.65125,0.5775,1.0313654153434733,0.1542771475950125,0.1392415684958317,0.1382468550701428
1.0,0,PNBD,xcal_pos,358,0.0277919160465344,0.5321534412085552,0.8938547486033519,0.988826815642458,1.4134078212290502,1.2905027932960893,1.0313654153434733,0.1542771475950125,0.1392415684958317,0.1382468550701428
1.0,0,GGG,all,800,0.0236422744069776,0.254239275147929,0.93875,0.97875,0.65125,0.565,1.0313654153434733,0.1542771475950125,0.1392415684958317,0.1382468550701428
1.0,0,GGG,xcal_pos,358,0.0280489268889274,0.5267107285709564,0.8910614525139665,0.9804469273743016,1.4134078212290502,1.2625698324022343,1.0313654153434733,0.1542771475950125,0.1392415684958317,0.1382468550701428
1.0,1,PNBD,all,800,0.01919681531823625,0.8764005362426036,0.79375,0.97625,2.3025,2.06375,1.0050955278433185,0.17251898571399019,0.17312677018366415,0.17158760142701904
1.0,1,PNBD,xcal_pos,620,0.025812610747456916,1.1207983155182286,0.7435483870967742,0.9693548387096774,2.9612903225806453,2.662903225806452,1.0050955278433185,0.17251898571399019,0.17312677018366415,0.17158760142701904
1.0,1,GGG,all,800,0.022386035130861626,0.8799211353550297,0.78375,0.97625,2.3025,2.053125,1.0050955278433185,0.17251898571399019,0.17312677018366415,0.17158760142701904
1.0,1,GGG,xcal_pos,620,0.027182979973999127,1.1252089139148693,0.7306451612903225,0.9693548387096774,2.9612903225806453,2.649193548387097,1.0050955278433185,0.17251898571399019,0.17312677018366415,0.17158760142701904
1.0,2,PNBD,all,800,0.022627295558626304,0.27318134245562126,0.92625,0.98125,0.52,0.359375,1.100632191714628,0.12616423189662318,0.1154874685139572,0.12279576511529282
1.0,2,PNBD,xcal_pos,365,0.04552178432685211,0.574279038664181,0.8575342465753425,0.9726027397260274,1.115068493150685,0.7876712328767124,1.100632191714628,0.12616423189662318,0.1154874685139572,0.12279576511529282
1.0,2,GGG,all,800,0.021700473615011262,0.2741397189349113,0.9275,0.98125,0.52,0.384375,1.100632191714628,0.12616423189662318,0.1154874685139572,0.12279576511529282
1.0,2,GGG,xcal_pos,365,0.03953754894962869,0.5765280051876469,0.8602739726027397,0.9780821917808219,1.115068493150685,0.8424657534246576,1.100632191714628,0.12616423189662318,0.1154874685139572,0.12279576511529282
1.0,3,PNBD,all,800,0.019894890812474197,0.387709301035503,0.86,0.9675,0.75,0.424375,1.0084831412283384,0.08755147365372669,0.07584014096229715,0.07652354973614656
1.0,3,PNBD,xcal_pos,391,0.06786126248720714,0.7022106493742338,0.7749360613810742,0.9641943734015346,1.4398976982097187,0.8682864450127877,1.0084831412283384,0.08755147365372669,0.07584014096229715,0.07652354973614656
1.0,3,GGG,all,800,0.019777444530558297,0.3856318047337278,0.865,0.9725,0.75,0.444375,1.0084831412283384,0.08755147365372669,0.07584014096229715,0.07652354973614656
1.0,3,GGG,xcal_pos,391,0.059319360442182445,0.6975834228726221,0.7851662404092071,0.969309462915601,1.4398976982097187,0.9092071611253197,1.0084831412283384,0.08755147365372669,0.07584014096229715,0.07652354973614656
1.0,4,PNBD,all,800,0.04534509210918869,0.27679478550295855,0.88,0.98625,0.4175,0.19625,0.9697930914644626,0.05017609054814301,0.04890463643705666,0.04716547105211296
1.0,4,PNBD,xcal_pos,404,0.07421366049909639,0.46261922198136973,0.8217821782178217,0.9900990099009901,0.7376237623762376,0.3886138613861386,0.9697930914644626,0.05017609054814301,0.04890463643705666,0.04716547105211296
1.0,4,GGG,all,800,0.04574449932641411,0.2755449889053254,0.88,0.98125,0.4175,0.199375,0.9697930914644626,0.05017609054814301,0.04890463643705666,0.04716547105211296
1.0,4,GGG,xcal_pos,404,0.06930432372007911,0.4599994141425977,0.8217821782178217,0.9826732673267327,0.7376237623762376,0.3948019801980198,0.9697930914644626,0.05017609054814301,0.04890463643705666,0.04716547105211296
1.0,5,PNBD,all,800,0.048205638477191726,0.30385987426035505,0.8925,0.97375,0.60625,0.36875,1.0417848933991365,0.06644383461357875,0.06012897905410313,0.059369758105402126
1.0,5,PNBD,xcal_pos,297,0.10803787986741731,0.7527860956707111,0.7676767676767676,0.9595959595959596,1.5656565656565657,0.9932659932659933,1.0417848933991365,0.06644383461357875,0.06012897905410313,0.059369758105402126
1.0,5,GGG,all,800,0.05608258851116421,0.29948705621301774,0.89125,0.98,0.60625,0.3475,1.0417848933991365,0.06644383461357875,0.06012897905410313,0.059369758105402126
1.0,5,GGG,xcal_pos,297,0.12334343059798303,0.7412907178291793,0.7643097643097643,0.9663299663299664,1.5656565656565657,0.936026936026936,1.0417848933991365,0.06644383461357875,0.06012897905410313,0.059369758105402126
1.0,6,PNBD,all,800,0.019315877811806215,0.3648351701183432,0.92,0.975,0.8675,0.703125,1.0416224852780955,0.1173842867145649,0.12864446912423358,0.13232535246857222
