[1/90] N=200 T=26 rep=0  (3.5s, 18 rows, 18 total)
[2/90] N=200 T=26 rep=1  (2.6s, 18 rows, 36 total)
[3/90] N=200 T=26 rep=2  (1.6s, 18 rows, 54 total)
[4/90] N=200 T=26 rep=3  (1.6s, 18 rows, 72 total)
[5/90] N=200 T=26 rep=4  (5.3s, 18 rows, 90 total)
[6/90] N=200 T=26 rep=5  (1.9s, 18 rows, 108 total)
[7/90] N=200 T=26 rep=6  (1.5s, 18 rows, 126 total)
[8/90] N=200 T=26 rep=7  (2.6s, 18 rows, 144 total)
[9/90] N=200 T=26 rep=8  (19.1s, 18 rows, 162 total)
[10/90] N=200 T=26 rep=9  (1.8s, 18 rows, 180 total)
[11/90] N=200 T=26 rep=10  (1.9s, 18 rows, 198 total)
[12/90] N=200 T=26 rep=11  (1.6s, 18 rows, 216 total)
[13/90] N=200 T=26 rep=12  (37.9s, 18 rows, 234 total)
[14/90] N=200 T=26 rep=13  (1.6s, 9 rows, 243 total)
[15/90] N=200 T=26 rep=14  (2.6s, 15 rows, 258 total)
[16/90] N=300 T=26 rep=0  (2.1s, 18 rows, 276 total)
[17/90] N=300 T=26 rep=1  (2.0s, 18 rows, 294 total)
[18/90] N=300 T=26 rep=2  (5.1s, 18 rows, 312 total)
[19/90] N=300 T=26 rep=3  (9.6s, 18 rows, 330 total)
[20/90] N=300 T=26 rep=4  (1.9s, 18 rows, 348 total)
[21/90] N=300 T=26 rep=5  (5.6s, 18 rows, 366 total)
[22/90] N=300 T=26 rep=6  (2.1s, 18 rows, 384 total)
[23/90] N=300 T=26 rep=7  (2.1s, 18 rows, 402 total)
[24/90] N=300 T=26 rep=8  (136.5s, 18 rows, 420 total)
[25/90] N=300 T=26 rep=9  (1.9s, 18 rows, 438 total)
[26/90] N=300 T=26 rep=10  (3.8s, 18 rows, 456 total)
[27/90] N=300 T=26 rep=11  (2.4s, 18 rows, 474 total)
[28/90] N=300 T=26 rep=12  (2.0s, 18 rows, 492 total)
[29/90] N=300 T=26 rep=13  (2.5s, 18 rows, 510 total)
[30/90] N=300 T=26 rep=14  (1.9s, 18 rows, 528 total)
[31/90] N=500 T=39 rep=0  (2.8s, 18 rows, 546 total)
[32/90] N=500 T=39 rep=1  (2.3s, 18 rows, 564 total)
[33/90] N=500 T=39 rep=2  (4.0s, 18 rows, 582 total)
[34/90] N=500 T=39 rep=3  (3.0s, 18 rows, 600 total)
[35/90] N=500 T=39 rep=4  (2.4s, 18 rows, 618 total)
[36/90] N=500 T=39 rep=5  (8.1s, 18 rows, 636 total)
[37/90] N=500 T=39 rep=6  (2.4s, 18 rows, 654 total)
[38/90] N=500 T=39 rep=7  (3.1s, 18 rows, 672 total)
[39/90] N=500 T=39 rep=8  (7.3s, 18 rows, 690 total)
[40/90] N=500 T=39 rep=9  (2.5s, 18 rows, 708 total)
[41/90] N=500 T=39 rep=10  (2.1s, 18 rows, 726 total)
[42/90] N=500 T=39 rep=11  (2.8s, 18 rows, 744 total)
[43/90] N=500 T=39 rep=12  (3.6s, 18 rows, 762 total)
[44/90] N=500 T=39 rep=13  (2.3s, 18 rows, 780 total)
[45/90] N=500 T=39 rep=14  (2.3s, 18 rows, 798 total)
[46/90] N=800 T=39 rep=0  (5.5s, 18 rows, 816 total)
[47/90] N=800 T=39 rep=1  (3.7s, 18 rows, 834 total)
[48/90] N=800 T=39 rep=2  (3.1s, 18 rows, 852 total)
[49/90] N=800 T=39 rep=3  (3.5s, 18 rows, 870 total)
[50/90] N=800 T=39 rep=4  (4.0s, 18 rows, 888 total)
[51/90] N=800 T=39 rep=5  (5.2s, 18 rows, 906 total)
[52/90] N=800 T=39 rep=6  (3.1s, 18 rows, 924 total)
[53/90] N=800 T=39 rep=7  (6.4s, 18 rows, 942 total)
[54/90] N=800 T=39 rep=8  (8.7s, 18 rows, 960 total)
[55/90] N=800 T=39 rep=9  (3.0s, 18 rows, 978 total)
[56/90] N=800 T=39 rep=10  (3.3s, 18 rows, 996 total)
[57/90] N=800 T=39 rep=11  (2.9s, 18 rows, 1014 total)
[58/90] N=800 T=39 rep=12  (3.9s, 18 rows, 1032 total)
[59/90] N=800 T=39 rep=13  (4.7s, 18 rows, 1050 total)
[60/90] N=800 T=39 rep=14  (3.5s, 18 rows, 1068 total)
[61/90] N=1200 T=52 rep=0  (9.2s, 18 rows, 1086 total)
[62/90] N=1200 T=52 rep=1  (4.5s, 18 rows, 1104 total)
[63/90] N=1200 T=52 rep=2  (4.7s, 18 rows, 1122 total)
[64/90] N=1200 T=52 rep=3  (6.8s, 18 rows, 1140 total)
[65/90] N=1200 T=52 rep=4  (4.3s, 18 rows, 1158 total)
[66/90] N=1200 T=52 rep=5  (4.0s, 18 rows, 1176 total)
[67/90] N=1200 T=52 rep=6  (4.7s, 18 rows, 1194 total)
[68/90] N=1200 T=52 rep=7  (41.5s, 18 rows, 1212 total)
[69/90] N=1200 T=52 rep=8  (4.7s, 18 rows, 1230 total)
[70/90] N=1200 T=52 rep=9  (6.9s, 18 rows, 1248 total)
[71/90] N=1200 T=52 rep=10  (110.5s, 18 rows, 1266 total)
[budget] stopped after 71 new cells (586s)
[resume] 1266 rows, 71 cells already done
[72/90] N=1200 T=52 rep=11  (3.1s, 18 rows, 1284 total)
[73/90] N=1200 T=52 rep=12  (4.8s, 18 rows, 1302 total)
[74/90] N=1200 T=52 rep=13  (4.1s, 18 rows, 1320 total)
[75/90] N=1200 T=52 rep=14  (8.2s, 9 rows, 1329 total)
[76/90] N=2000 T=60 rep=0  (6.6s, 18 rows, 1347 total)
[77/90] N=2000 T=60 rep=1  (6.6s, 18 rows, 1365 total)
[78/90] N=2000 T=60 rep=2  (5.5s, 18 rows, 1383 total)
[79/90] N=2000 T=60 rep=3  (6.8s, 18 rows, 1401 total)
[80/90] N=2000 T=60 rep=4  (5.5s, 9 rows, 1410 total)
[81/90] N=2000 T=60 rep=5  (15.5s, 9 rows, 1419 total)
[82/90] N=2000 T=60 rep=6  (6.1s, 18 rows, 1437 total)
[83/90] N=2000 T=60 rep=7  (7.5s, 18 rows, 1455 total)
[84/90] N=2000 T=60 rep=8  (5.8s, 18 rows, 1473 total)
[85/90] N=2000 T=60 rep=9  (7.2s, 18 rows, 1491 total)
[86/90] N=2000 T=60 rep=10  (7.0s, 18 rows, 1509 total)
[87/90] N=2000 T=60 rep=11  (15.9s, 18 rows, 1527 total)
[88/90] N=2000 T=60 rep=12  (6.0s, 18 rows, 1545 total)
[89/90] N=2000 T=60 rep=13  (7.9s, 18 rows, 1563 total)
[90/90] N=2000 T=60 rep=14  (51.4s, 18 rows, 1581 total)

[done] 1581 rows -> C:\Users\Pranava Baascaran\Desktop\Projects\pareto-nbd-extension\results\main_results.csv  (181.5s, 19 new)
