ratio,rep,cond,n,pit_ks,CRPS,cov50,cov95
1.0,0,all,800,0.02856903679452255,0.48056301269531254,0.8875,0.985
1.0,0,xcal_pos,563,0.028787489693461066,0.6757283803285968,0.8419182948490231,0.9804618117229129
1.0,1,all,800,0.03547250574807792,0.644126708984375,0.83125,0.97875
1.0,1,xcal_pos,649,0.049488522539256175,0.7626937024508859,0.8012326656394453,0.9830508474576272
1.0,2,all,800,0.04025441273183067,0.5702162841796875,0.85375,0.9875
1.0,2,xcal_pos,573,0.04976884780245855,0.7756894054046684,0.806282722513089,0.9895287958115183
1.0,3,all,800,0.022542689149165934,0.4671966674804688,0.84375,0.9825
1.0,3,xcal_pos,566,0.02922426645392448,0.6333927955223057,0.7950530035335689,0.980565371024735
1.0,4,all,800,0.0494766348961474,0.33046291503906244,0.90375,0.9825
1.0,4,xcal_pos,526,0.0517668261290497,0.47328862063331745,0.8726235741444867,0.9771863117870723
1.0,5,all,800,0.02944665319623374,0.22943343505859373,0.92875,0.98
1.0,5,xcal_pos,422,0.03769124036643878,0.42313340028880336,0.8767772511848341,0.9739336492890995
1.0,6,all,800,0.025023253679797186,0.3509532348632813,0.9,0.9775
1.0,6,xcal_pos,502,0.043783640568959115,0.5178271873443726,0.8585657370517928,0.9820717131474104
1.0,7,all,800,0.01908743576347577,0.3682017822265625,0.8875,0.98375
1.0,7,xcal_pos,462,0.03117452001454235,0.6057885847876082,0.8246753246753247,0.9783549783549783
1.0,8,all,800,0.015182286306292786,0.240330517578125,0.92,0.985
1.0,8,xcal_pos,456,0.029590923995927776,0.41060294168037276,0.868421052631579,0.9824561403508771
1.0,9,all,800,0.03024377095549924,0.28169091796874995,0.9125,0.985
1.0,9,xcal_pos,502,0.036431533470503236,0.42343290898904384,0.8725099601593626,0.9880478087649402
1.0,10,all,800,0.035139138594455804,0.5229863525390624,0.83375,0.98375
1.0,10,xcal_pos,546,0.03944433753764276,0.7449744591346154,0.7710622710622711,0.9798534798534798
1.0,11,all,800,0.029966659980061316,0.287966064453125,0.9175,0.9825
1.0,11,xcal_pos,504,0.06000359296985347,0.4530914403521825,0.871031746031746,0.9742063492063492
1.0,12,all,800,0.03425427824400318,0.3030076904296875,0.92875,0.99
1.0,12,xcal_pos,476,0.026137900754436616,0.4965033318014706,0.8823529411764706,0.9852941176470589
1.0,13,all,800,0.025812099009242417,0.7875432006835936,0.7975,0.98875
1.0,13,xcal_pos,673,0.019753310438166194,0.9272826604290492,0.763744427934621,0.9910846953937593
1.0,14,all,800,0.03295759494865169,0.5922618774414062,0.82875,0.98875
1.0,14,xcal_pos,599,0.035609040549724136,0.7840153184995826,0.7762938230383973,0.986644407345576
2.0,0,all,800,0.026291756890312046,0.25034912109375,0.94375,0.99
2.0,0,xcal_pos,507,0.04941857304827646,0.39299392489521695,0.9132149901380671,0.9861932938856016
2.0,1,all,800,0.02517129064558421,0.5489055786132812,0.83875,0.98125
2.0,1,xcal_pos,593,0.019869241565752982,0.71915552869414,0.7976391231028668,0.9797639123102867
2.0,2,all,800,0.02312437361954317,0.586340576171875,0.85625,0.9825
2.0,2,xcal_pos,574,0.02625528724970294,0.8102432559342335,0.8048780487804879,0.9790940766550522
2.0,3,all,800,0.016495442063947485,0.42211859130859375,0.87875,0.98375
2.0,3,xcal_pos,504,0.04044351947389513,0.6445113312251983,0.8194444444444444,0.9861111111111112
2.0,4,all,800,0.029849801859737846,0.8381605346679689,0.78,0.98125
2.0,4,xcal_pos,649,0.026311904227143967,1.0280708451704546,0.7334360554699538,0.9768875192604006
2.0,5,all,800,0.03207181637846879,0.6425886352539062,0.8325,0.9825
2.0,5,xcal_pos,604,0.04226654945166425,0.8281131810068295,0.7864238410596026,0.9834437086092715
2.0,6,all,800,0.053619008042650296,0.44260787353515624,0.90375,0.985
2.0,6,xcal_pos,557,0.02728069885598919,0.6249966512847847,0.8653500897666068,0.9820466786355476
2.0,7,all,800,0.023091925631821386,0.4254838989257813,0.9025,0.99
2.0,7,xcal_pos,585,0.043301913213220994,0.5750015691773505,0.8683760683760684,0.9880341880341881
2.0,8,all,800,0.026045148684794073,0.7937039794921875,0.815,0.975
2.0,8,xcal_pos,589,0.027893974017704604,1.0646667252493633,0.7572156196943973,0.969439728353141
2.0,9,all,800,0.030023881958807508,0.5054662231445313,0.85625,0.97
2.0,9,xcal_pos,517,0.06521381721141672,0.713208489482592,0.8104448742746615,0.9729206963249516
2.0,10,all,800,0.02790692070375761,0.33120568847656245,0.89125,0.98375
2.0,10,xcal_pos,502,0.042487668842947746,0.5058817464516933,0.8386454183266933,0.9860557768924303
2.0,11,all,800,0.03715888519737054,0.7053729736328126,0.835,0.98625
2.0,11,xcal_pos,648,0.04434742486646026,0.8629493543836806,0.8009259259259259,0.9845679012345679
2.0,12,all,800,0.02625026087985982,0.5299935791015625,0.83375,0.98125
2.0,12,xcal_pos,583,0.03265179674859947,0.700890162682247,0.7890222984562607,0.9777015437392796
2.0,13,all,800,0.01975937171735892,0.4441801513671875,0.87875,0.97375
2.0,13,xcal_pos,537,0.037337514983567174,0.6091414615339851,0.845437616387337,0.9813780260707635
2.0,14,all,800,0.0221770536985193,0.37171390380859376,0.90875,0.98375
2.0,14,xcal_pos,557,0.030623032651292514,0.5266887342908438,0.8725314183123878,0.9802513464991023
4.0,0,all,800,0.028412676664239744,0.25591132812499995,0.92625,0.98
4.0,0,xcal_pos,451,0.023239788050210708,0.4298362579684036,0.88470066518847,0.9800443458980045
4.0,1,all,800,0.03915294696050686,0.2806994873046875,0.91375,0.98625
4.0,1,xcal_pos,430,0.058542790635578434,0.49460347020348844,0.8558139534883721,0.9837209302325581
4.0,2,all,800,0.054074907752364454,0.2502977783203125,0.92375,0.97375
4.0,2,xcal_pos,444,0.059677193938121764,0.4240433206644144,0.8783783783783784,0.9684684684684685
4.0,3,all,800,0.02589653129175372,0.31503741455078127,0.90125,0.98125
4.0,3,xcal_pos,499,0.0260623196862515,0.4738818652930862,0.8617234468937875,0.9799599198396793
4.0,4,all,800,0.040606166676827815,0.5756597290039063,0.85375,0.97875
4.0,4,xcal_pos,528,0.025998342456783785,0.8476913914535985,0.7916666666666666,0.9772727272727273
4.0,5,all,800,0.0472553235026541,0.7942693725585938,0.82125,0.9825
4.0,5,xcal_pos,615,0.06377225505840389,1.0170880494156505,0.775609756097561,0.9821138211382113
4.0,6,all,800,0.024999607310004612,0.3578798583984375,0.91625,0.98125
4.0,6,xcal_pos,498,0.01993114760425052,0.5533291368599398,0.8795180722891566,0.9799196787148594
4.0,7,all,800,0.021696115922549275,0.62468935546875,0.83625,0.9825
4.0,7,xcal_pos,553,0.03771113475812221,0.8735364983612116,0.7811934900542495,0.9801084990958409
4.0,8,all,800,0.04262909232364831,0.38871123046875,0.895,0.98875
4.0,8,xcal_pos,518,0.052614349055993714,0.5754991214708012,0.8532818532818532,0.9903474903474904
4.0,9,all,800,0.02465411881812196,0.30003325195312497,0.91,0.98875
4.0,9,xcal_pos,485,0.04217707655221303,0.4763698050902062,0.8618556701030928,0.9876288659793815
4.0,10,all,800,0.03481408357044746,0.5379852294921875,0.83875,0.98
4.0,10,xcal_pos,514,0.06308496042028522,0.7752143497689689,0.7937743190661478,0.980544747081712
4.0,11,all,800,0.029352260288699472,0.2743650146484375,0.90375,0.9825
4.0,11,xcal_pos,413,0.039045304748578036,0.47261910279207014,0.8547215496368039,0.9830508474576272
4.0,12,all,800,0.024983724299896926,0.7021815917968749,0.8275,0.98
4.0,12,xcal_pos,594,0.025475924951652407,0.9229448127104377,0.7845117845117845,0.9781144781144782
4.0,13,all,800,0.03276014120514725,0.45076030273437495,0.87625,0.97375
4.0,13,xcal_pos,529,0.07177759683499252,0.6749698354796786,0.8166351606805293,0.9621928166351607
4.0,14,all,800,0.02628647894996533,0.5758326416015624,0.84125,0.97375
4.0,14,xcal_pos,534,0.04051288057594374,0.8116338585557116,0.7846441947565543,0.9756554307116105
6.0,0,all,800,0.01775713121437361,0.33440589599609377,0.91,0.98625
6.0,0,xcal_pos,468,0.031220372426548737,0.5525254573985043,0.8589743589743589,0.9850427350427351
6.0,1,all,800,0.042422354122449546,0.48576044921874995,0.88375,0.98625
6.0,1,xcal_pos,522,0.03644735402275412,0.7163398362667623,0.8390804597701149,0.9904214559386973
6.0,2,all,800,0.04386658444554631,0.4577462646484375,0.89375,0.9775
6.0,2,xcal_pos,495,0.01870673949208712,0.7022151199494949,0.8464646464646465,0.9797979797979798
6.0,3,all,800,0.04888708819473922,0.4290184936523437,0.87125,0.98625
6.0,3,xcal_pos,465,0.08884688062301338,0.7080517263104839,0.8,0.9827956989247312
6.0,4,all,800,0.018654271355552796,0.4114994506835937,0.88125,0.99125
6.0,4,xcal_pos,473,0.036426256538379664,0.6553511908694503,0.8329809725158562,0.9915433403805497
6.0,5,all,800,0.05408622244547456,0.8060303466796875,0.79375,0.97625
6.0,5,xcal_pos,602,0.044765812034974095,1.0267377134811047,0.7574750830564784,0.973421926910299
6.0,6,all,800,0.044709042421066936,0.54425947265625,0.86375,0.975
6.0,6,xcal_pos,496,0.043723653921287686,0.8474548339843749,0.7943548387096774,0.969758064516129
6.0,7,all,800,0.05912605411490979,0.5854731079101563,0.8675,0.97625
6.0,7,xcal_pos,545,0.09564990714978117,0.8379015015768349,0.8201834862385321,0.9706422018348624
6.0,8,all,800,0.04613532485430827,0.6717172607421875,0.8275,0.975
6.0,8,xcal_pos,590,0.05198987534856425,0.8600185050317797,0.8,0.9779661016949153
6.0,9,all,800,0.048795537730155436,0.36029647216796873,0.89,0.98375
6.0,9,xcal_pos,458,0.04995178144727619,0.5970799715133733,0.8318777292576419,0.9868995633187773
6.0,10,all,800,0.03920792567535114,0.5142635620117187,0.855,0.97875
6.0,10,xcal_pos,512,0.022497927527925204,0.7653754806518555,0.796875,0.974609375
6.0,11,all,800,0.025881017238198578,0.4381230224609375,0.91,0.98375
6.0,11,xcal_pos,521,0.03501192305887613,0.6459615672984644,0.8694817658349329,0.980806142034549
6.0,12,all,800,0.021099483729771662,0.36966925048828114,0.91375,0.98125
6.0,12,xcal_pos,497,0.041171961214816366,0.5732359390719316,0.8792756539235412,0.9859154929577465
6.0,13,all,800,0.0217021242734369,0.5520170654296875,0.85375,0.98375
6.0,13,xcal_pos,502,0.03728038480926227,0.8242537078249501,0.8027888446215139,0.9860557768924303
6.0,14,all,800,0.026850472838155726,0.46360751953124996,0.8975,0.98125
6.0,14,xcal_pos,507,0.039145654167545785,0.7159250570142998,0.8481262327416174,0.980276134122288
10.0,0,all,800,0.021574359607037685,0.39129533691406243,0.91125,0.9875
10.0,0,xcal_pos,489,0.05384105017675689,0.6028833357298058,0.8875255623721882,0.9918200408997955
10.0,1,all,800,0.07033861001224162,0.4423024291992188,0.90125,0.98125
10.0,1,xcal_pos,455,0.06346988724318808,0.7451570441277474,0.8527472527472527,0.9846153846153847
10.0,2,all,800,0.033721392134135386,0.5632535888671875,0.85125,0.9825
10.0,2,xcal_pos,534,0.04055726794109993,0.7951619374707397,0.8089887640449438,0.9850187265917603
10.0,3,all,800,0.03454724040605073,0.5578124145507812,0.85,0.98
10.0,3,xcal_pos,468,0.048997250266998305,0.9104139539930556,0.7799145299145299,0.9786324786324786
10.0,4,all,800,0.0181320545202156,0.6306145385742188,0.87,0.97625
10.0,4,xcal_pos,515,0.03511010431198447,0.934536843901699,0.8252427184466019,0.9766990291262136
10.0,5,all,800,0.037298808352814516,0.5974756591796875,0.82125,0.97625
10.0,5,xcal_pos,506,0.027374951224152788,0.858346405632411,0.782608695652174,0.9841897233201581
10.0,6,all,800,0.05504580959940075,0.30989566650390626,0.91,0.975
10.0,6,xcal_pos,375,0.10882277633463217,0.596357109375,0.8586666666666667,0.9786666666666667
10.0,7,all,800,0.04051359298573309,0.696184326171875,0.82875,0.98
10.0,7,xcal_pos,556,0.0495568828693376,0.9471769791198292,0.7877697841726619,0.9856115107913669
10.0,8,all,800,0.025623175929245456,0.6110022338867188,0.85125,0.97625
10.0,8,xcal_pos,484,0.0406904204759978,0.9306909381456611,0.7995867768595041,0.981404958677686
10.0,9,all,800,0.0457429245100745,0.4035481201171875,0.88125,0.9875
10.0,9,xcal_pos,467,0.0716761271267643,0.6558765850843147,0.8244111349036403,0.9914346895074947
10.0,10,all,800,0.021221358222029807,0.5044870483398438,0.8375,0.98125
10.0,10,xcal_pos,461,0.043644183007639836,0.7839909419061822,0.7982646420824295,0.9869848156182213
10.0,11,all,800,0.03361979069532972,0.27533160400390627,0.92375,0.97
10.0,11,xcal_pos,391,0.025944141753362904,0.4804739450127878,0.8925831202046036,0.9872122762148338
10.0,12,all,800,0.037285298237650644,0.44936553955078123,0.865,0.98625
10.0,12,xcal_pos,452,0.0352902498474158,0.7165043383573009,0.827433628318584,0.9867256637168141
10.0,13,all,800,0.028525763954439398,0.46070650634765625,0.8725,0.9725
10.0,13,xcal_pos,437,0.08217411125043733,0.7773287775314645,0.8123569794050344,0.9725400457665904
10.0,14,all,800,0.035388529749238506,0.23397409667968752,0.92625,0.97875
10.0,14,xcal_pos,349,0.02313709893166571,0.4690476696812321,0.8739255014326648,0.9885386819484241
