dataset,N,seed,method,cond,metric,value
Simulated,1500,0,BTYD,all,CRPS,0.3064115451388889
Simulated,1500,0,BTYD,all,pit_ks,0.031443148403762944
Simulated,1500,0,BTYD,all,cov95,0.9955555555555555
Simulated,1500,0,BTYD,all,cov50,0.9155555555555556
Simulated,1500,0,BTYD,all,nMAE,0.5333333333333333
Simulated,1500,0,BTYD,x>0,CRPS,0.5747346097103003
Simulated,1500,0,BTYD,x>0,pit_ks,0.05154406279590673
Simulated,1500,0,BTYD,x>0,cov95,0.9957081545064378
Simulated,1500,0,BTYD,x>0,cov50,0.8497854077253219
Simulated,1500,0,BTYD,x>0,nMAE,0.5280898876404494
Simulated,1500,0,PoissonGBM,all,CRPS,0.452499125
Simulated,1500,0,PoissonGBM,all,pit_ks,0.06994891423611577
Simulated,1500,0,PoissonGBM,all,cov95,0.9377777777777778
Simulated,1500,0,PoissonGBM,all,cov50,0.8555555555555555
Simulated,1500,0,PoissonGBM,all,nMAE,0.7499999999999999
Simulated,1500,0,PoissonGBM,x>0,CRPS,0.8485319474248926
Simulated,1500,0,PoissonGBM,x>0,pit_ks,0.12966438362169827
Simulated,1500,0,PoissonGBM,x>0,cov95,0.8927038626609443
Simulated,1500,0,PoissonGBM,x>0,cov50,0.7339055793991416
Simulated,1500,0,PoissonGBM,x>0,nMAE,0.7443820224719102
Simulated,1500,0,HurdleGBM,all,CRPS,0.3859724583333333
Simulated,1500,0,HurdleGBM,all,pit_ks,0.0550789543339007
Simulated,1500,0,HurdleGBM,all,cov95,0.9711111111111111
Simulated,1500,0,HurdleGBM,all,cov50,0.8777777777777778
Simulated,1500,0,HurdleGBM,all,nMAE,0.6416666666666666
Simulated,1500,0,HurdleGBM,x>0,CRPS,0.7246643240343348
Simulated,1500,0,HurdleGBM,x>0,pit_ks,0.10641886890863331
Simulated,1500,0,HurdleGBM,x>0,cov95,0.9570815450643777
Simulated,1500,0,HurdleGBM,x>0,cov50,0.776824034334764
Simulated,1500,0,HurdleGBM,x>0,nMAE,0.6376404494382023
Simulated,1500,0,QuantileGBM,all,CRPS,0.42230438888888894
Simulated,1500,0,QuantileGBM,all,pit_ks,0.03186549468879779
Simulated,1500,0,QuantileGBM,all,cov95,0.98
Simulated,1500,0,QuantileGBM,all,cov50,0.9244444444444444
Simulated,1500,0,QuantileGBM,all,nMAE,0.9763888888888889
Simulated,1500,0,QuantileGBM,x>0,CRPS,0.7955678648068669
Simulated,1500,0,QuantileGBM,x>0,pit_ks,0.05229948983995247
Simulated,1500,0,QuantileGBM,x>0,cov95,0.9742489270386266
Simulated,1500,0,QuantileGBM,x>0,cov50,0.8669527896995708
Simulated,1500,0,QuantileGBM,x>0,nMAE,0.976123595505618
Simulated,1500,1,BTYD,all,CRPS,0.3533794270833333
Simulated,1500,1,BTYD,all,pit_ks,0.057281869838704425
Simulated,1500,1,BTYD,all,cov95,0.9844444444444445
Simulated,1500,1,BTYD,all,cov50,0.9288888888888889
Simulated,1500,1,BTYD,all,nMAE,0.4527720739219713
Simulated,1500,1,BTYD,x>0,CRPS,0.6398271730567227
Simulated,1500,1,BTYD,x>0,pit_ks,0.05429108367143021
Simulated,1500,1,BTYD,x>0,cov95,0.9831932773109243
Simulated,1500,1,BTYD,x>0,cov50,0.8907563025210085
Simulated,1500,1,BTYD,x>0,nMAE,0.4447916666666667
Simulated,1500,1,PoissonGBM,all,CRPS,0.5989116388888889
Simulated,1500,1,PoissonGBM,all,pit_ks,0.04382148818788589
Simulated,1500,1,PoissonGBM,all,cov95,0.9466666666666667
Simulated,1500,1,PoissonGBM,all,cov50,0.8688888888888889
Simulated,1500,1,PoissonGBM,all,nMAE,0.6868583162217659
Simulated,1500,1,PoissonGBM,x>0,CRPS,1.1009964285714287
Simulated,1500,1,PoissonGBM,x>0,pit_ks,0.08166045910191799
Simulated,1500,1,PoissonGBM,x>0,cov95,0.907563025210084
Simulated,1500,1,PoissonGBM,x>0,cov50,0.773109243697479
Simulated,1500,1,PoissonGBM,x>0,nMAE,0.678125
Simulated,1500,1,HurdleGBM,all,CRPS,0.5246638888888889
Simulated,1500,1,HurdleGBM,all,pit_ks,0.039701644729743746
Simulated,1500,1,HurdleGBM,all,cov95,0.9644444444444444
Simulated,1500,1,HurdleGBM,all,cov50,0.9044444444444445
Simulated,1500,1,HurdleGBM,all,nMAE,0.5985626283367557
