dataset,cond,metric,method,mean,sd,vs_BTYD_p,n_seeds
CDNow,all,CRPS,BTYD,0.37333071443305044,0.03292087789329408,,15
CDNow,all,CRPS,PoissonGBM,0.4252019919849127,0.03505593350692834,6.103515625e-05,15
CDNow,all,CRPS,HurdleGBM,0.4150218782413955,0.03395629882288004,6.103515625e-05,15
CDNow,all,CRPS,QuantileGBM,0.40438973243752946,0.0352935562698129,6.103515625e-05,15
CDNow,all,cov50,BTYD,0.8346063177746346,0.012474329587168063,,15
CDNow,all,cov50,PoissonGBM,0.8187647336162187,0.014707581227284692,0.0006533107814151377,15
CDNow,all,cov50,HurdleGBM,0.8178217821782178,0.018962972123796103,0.0006103515625,15
CDNow,all,cov50,QuantileGBM,0.8381895332390382,0.013575132605783306,0.06847552025215699,15
CDNow,all,cov95,BTYD,0.9709570957095709,0.005654339941414651,,15
CDNow,all,cov95,PoissonGBM,0.9495520980669496,0.007573021406982074,0.0006483852534615971,15
CDNow,all,cov95,HurdleGBM,0.9595473833097595,0.006821168321639776,0.0006353759378356659,15
CDNow,all,cov95,QuantileGBM,0.9627534181989625,0.006734020206075295,0.00194902900051223,15
CDNow,all,nMAE,BTYD,0.8437058252115464,0.029261534569397073,,15
CDNow,all,nMAE,PoissonGBM,0.9566207544147809,0.0607597520030862,6.103515625e-05,15
CDNow,all,nMAE,HurdleGBM,0.9360115620623818,0.052364430715016445,6.103515625e-05,15
CDNow,all,nMAE,QuantileGBM,0.9649955783745894,0.026282204201859484,6.103515625e-05,15
CDNow,all,pit_ks,BTYD,0.0635148919810755,0.012878228770618646,,15
CDNow,all,pit_ks,PoissonGBM,0.053586976569713854,0.010694855979457634,0.05535888671875,15
CDNow,all,pit_ks,HurdleGBM,0.04062198157835013,0.008579463107023134,0.00042724609375,15
CDNow,all,pit_ks,QuantileGBM,0.059876196983037804,0.016330029496581928,0.22930908203125,15
CDNow,x>0,CRPS,BTYD,0.7005711715433637,0.06680062788389249,,15
CDNow,x>0,CRPS,PoissonGBM,0.8212275538218691,0.07004048070924383,6.103515625e-05,15
CDNow,x>0,CRPS,HurdleGBM,0.8027875420130363,0.06696768710897875,6.103515625e-05,15
CDNow,x>0,CRPS,QuantileGBM,0.7780636420947645,0.07004140233817356,6.103515625e-05,15
CDNow,x>0,cov50,BTYD,0.7539076354236843,0.01673625554830457,,15
CDNow,x>0,cov50,PoissonGBM,0.6969532755419241,0.019091504173844188,6.103515625e-05,15
CDNow,x>0,cov50,HurdleGBM,0.7062590722239392,0.02747555610634051,0.0014737808438751421,15
CDNow,x>0,cov50,QuantileGBM,0.7547392203252894,0.01765883790403672,0.890380859375,15
CDNow,x>0,cov95,BTYD,0.9688041803575911,0.012062767129004792,,15
CDNow,x>0,cov95,PoissonGBM,0.915226087662214,0.014950588610281099,6.103515625e-05,15
CDNow,x>0,cov95,HurdleGBM,0.9309984411965273,0.016272858116156846,6.103515625e-05,15
