dataset,seed,model,metric,value
Sim-k1,0,PNBD,timing_CRPS,21.301354750320122
Sim-k1,0,PNBD,timing_MdAE,4.144565904640425
Sim-k1,0,GGG,timing_CRPS,24.149837611375332
Sim-k1,0,GGG,timing_MdAE,5.569597226237751
Sim-k1,1,PNBD,timing_CRPS,30.20201791180976
Sim-k1,1,PNBD,timing_MdAE,7.589987590058221
Sim-k1,1,GGG,timing_CRPS,31.724551431046372
Sim-k1,1,GGG,timing_MdAE,9.114132600848666
Sim-k1,2,PNBD,timing_CRPS,22.856824415329047
Sim-k1,2,PNBD,timing_MdAE,6.390646914845955
Sim-k1,2,GGG,timing_CRPS,22.922590283796744
Sim-k1,2,GGG,timing_MdAE,6.016427020128458
Sim-k1,3,PNBD,timing_CRPS,22.476828167476786
Sim-k1,3,PNBD,timing_MdAE,4.228977952055531
Sim-k1,3,GGG,timing_CRPS,24.466030579164787
Sim-k1,3,GGG,timing_MdAE,4.7638821146267025
Sim-k1,4,PNBD,timing_CRPS,32.76370299968129
Sim-k1,4,PNBD,timing_MdAE,7.7429992345078
Sim-k1,4,GGG,timing_CRPS,32.020748110829444
Sim-k1,4,GGG,timing_MdAE,6.852456985061972
Sim-k1,5,PNBD,timing_CRPS,28.61551628806895
Sim-k1,5,PNBD,timing_MdAE,8.441790158402899
Sim-k1,5,GGG,timing_CRPS,26.735690239676234
Sim-k1,5,GGG,timing_MdAE,6.635221649147151
Sim-k1,6,PNBD,timing_CRPS,29.605509042130954
Sim-k1,6,PNBD,timing_MdAE,4.900588517346305
Sim-k1,6,GGG,timing_CRPS,30.523297384908734
Sim-k1,6,GGG,timing_MdAE,5.285969363236603
Sim-k1,7,PNBD,timing_CRPS,27.975280221390207
Sim-k1,7,PNBD,timing_MdAE,6.540095781590202
Sim-k1,7,GGG,timing_CRPS,26.416770955405834
Sim-k1,7,GGG,timing_MdAE,6.617903095679717
Sim-k1,8,PNBD,timing_CRPS,34.89485099771893
Sim-k1,8,PNBD,timing_MdAE,8.079424532486325
Sim-k1,8,GGG,timing_CRPS,35.14072621165836
Sim-k1,8,GGG,timing_MdAE,9.719388767774515
Sim-k1,9,PNBD,timing_CRPS,25.54817050431535
Sim-k1,9,PNBD,timing_MdAE,4.6870309854273415
Sim-k1,9,GGG,timing_CRPS,25.273232528177342
Sim-k1,9,GGG,timing_MdAE,4.409868899130096
Sim-k1,10,PNBD,timing_CRPS,24.36303501743469
Sim-k1,10,PNBD,timing_MdAE,5.878036561129157
Sim-k1,10,GGG,timing_CRPS,23.8498566433997
Sim-k1,10,GGG,timing_MdAE,5.838200356384782
Sim-k1,11,PNBD,timing_CRPS,24.699934839401774
Sim-k1,11,PNBD,timing_MdAE,3.795645471160824
Sim-k1,11,GGG,timing_CRPS,26.32027076089781
Sim-k1,11,GGG,timing_MdAE,4.310667659625765
Sim-k2,0,PNBD,timing_CRPS,25.875363970029266
Sim-k2,0,PNBD,timing_MdAE,5.128728063935487
Sim-k2,0,GGG,timing_CRPS,25.18621331758584
Sim-k2,0,GGG,timing_MdAE,4.847976710662492
Sim-k2,1,PNBD,timing_CRPS,21.692115614497638
Sim-k2,1,PNBD,timing_MdAE,5.142589840925679
Sim-k2,1,GGG,timing_CRPS,22.35126781281202
Sim-k2,1,GGG,timing_MdAE,4.366101291559482
Sim-k2,2,PNBD,timing_CRPS,27.058305980623892
Sim-k2,2,PNBD,timing_MdAE,4.198326988949141
Sim-k2,2,GGG,timing_CRPS,26.268465187198384
Sim-k2,2,GGG,timing_MdAE,3.1503280272785075
Sim-k2,3,PNBD,timing_CRPS,30.16918021706396
Sim-k2,3,PNBD,timing_MdAE,5.567697197700902
Sim-k2,3,GGG,timing_CRPS,27.13934669441942
Sim-k2,3,GGG,timing_MdAE,5.538078057923428
Sim-k2,4,PNBD,timing_CRPS,23.995856895872485
Sim-k2,4,PNBD,timing_MdAE,4.502380234513998
Sim-k2,4,GGG,timing_CRPS,24.571118059502798
Sim-k2,4,GGG,timing_MdAE,4.27317115189656
Sim-k2,5,PNBD,timing_CRPS,21.83382570868021
Sim-k2,5,PNBD,timing_MdAE,6.409263968566179
Sim-k2,5,GGG,timing_CRPS,22.222073566415023
Sim-k2,5,GGG,timing_MdAE,5.316301923254594
Sim-k2,6,PNBD,timing_CRPS,17.82971458966573
Sim-k2,6,PNBD,timing_MdAE,3.6269860824698164
Sim-k2,6,GGG,timing_CRPS,16.989768610754876
Sim-k2,6,GGG,timing_MdAE,2.954501544901902
Sim-k2,7,PNBD,timing_CRPS,32.774904523849735
Sim-k2,7,PNBD,timing_MdAE,7.147255380312384
Sim-k2,7,GGG,timing_CRPS,31.834929204315273
Sim-k2,7,GGG,timing_MdAE,5.8479184965256445
Sim-k2,8,PNBD,timing_CRPS,31.37036097153371
Sim-k2,8,PNBD,timing_MdAE,7.449781083603202
Sim-k2,8,GGG,timing_CRPS,29.96822395514841
Sim-k2,8,GGG,timing_MdAE,5.66055109568077
Sim-k2,9,PNBD,timing_CRPS,26.55616504762819
